ID	ERR	ERS	ST	Country	Source	Serotype	ermB	mefA	cat	Year	Country3	ermB_color	mefA_color	cat_color
19341_3#114	ERR1453762	ERS1021228	320	CN	N/A	19A	+	+	-	2009	Hong Kong	#FFFF00	#FFFF00	#000000
19341_3#14	ERR1453662	ERS1021097	320	CN	N/A	19A	+	+	-	2011	Hong Kong	#FFFF00	#FFFF00	#000000
19341_3#45	ERR1453693	ERS1021147	320	CN	N/A	19A	+	+	-	2012	Hong Kong	#FFFF00	#FFFF00	#000000
19341_3#51	ERR1453699	ERS1021159	320	CN	N/A	19A	+	+	-	2013	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#108	ERR2667136	ERS2553078	320	CN	N/A	19A	+	+	-	2014	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#110	ERR2667138	ERS2553080	320	CN	N/A	19A	+	+	-	2014	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#58	ERR2667086	ERS2553023	320	CN	N/A	19A	+	+	-	2012	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#59	ERR2667087	ERS2553024	320	CN	N/A	19A	+	+	-	2013	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#61	ERR2667089	ERS2553026	320	CN	N/A	19A	+	+	-	2011	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#62	ERR2667090	ERS2553027	320	CN	N/A	19A	+	-	-	2011	Hong Kong	#FFFF00	#000000	#000000
24775_1#65	ERR2667093	ERS2553030	320	CN	N/A	19A	+	+	-	2013	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#66	ERR2667094	ERS2553032	320	CN	N/A	19A	+	+	-	2013	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#71	ERR2667099	ERS2553039	320	CN	N/A	19A	+	+	-	2011	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#76	ERR2667104	ERS2553044	320	CN	N/A	19A	+	+	-	2011	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#85	ERR2667113	ERS2553053	320	CN	N/A	19A	+	+	-	2012	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#89	ERR2667117	ERS2553058	320	CN	N/A	19F	+	+	-	2013	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#93	ERR2667121	ERS2553062	320	CN	N/A	19A	+	+	-	2013	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#95	ERR2667123	ERS2553064	320	CN	N/A	19A	+	+	-	2013	Hong Kong	#FFFF00	#FFFF00	#000000
12291_1#59	ERR505517	ERS393912	320	PE	Other	19F	+	+	-	2007	Peru	#FFFF00	#FFFF00	#000000
19084_7#177	ERR1422506	ERS1021479	320	PE	Other	19A	+	+	-	2009	Peru	#FFFF00	#FFFF00	#000000
11657_8#14	ERR433707	ERS356365	320	US	Other	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12291_4#74	ERR505786	ERS394200	320	US	Other	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
14673_1#84	ERR742409	ERS558103	320	US	Other	19A	+	+	-	2008	USA	#FFFF00	#FFFF00	#000000
17794_8#138	ERR1192149	ERS725002	320	MA	Other	19A	+	+	-	2015	Morocco	#FFFF00	#FFFF00	#000000
20925_3#61	ERR1756446	ERS1206000	320	IN	Other	19F	+	+	-	2015	India	#FFFF00	#FFFF00	#000000
20925_3#7	ERR1756392	ERS1205973	320	IN	Other	19A	+	+	-	2016	India	#FFFF00	#FFFF00	#000000
11511_8#59	ERR425495	ERS356537	320	US	Other	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12291_4#33	ERR505748	ERS394159	320	US	Other	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
21242_2#153	ERR1795484	ERS1299825	320	BR	Other	19A	+	+	-	2012	Brazil	#FFFF00	#FFFF00	#000000
21999_7#110	ERR2089372	ERS1813654	320	BR	Other	19A	+	+	-	2012	Brazil	#FFFF00	#FFFF00	#000000
21999_7#176	ERR2089438	ERS1813720	320	BR	Other	19A	+	+	-	2012	Brazil	#FFFF00	#FFFF00	#000000
21999_8#115	ERR2089560	ERS1813846	320	BR	Other	19A	+	+	-	2013	Brazil	#FFFF00	#FFFF00	#000000
21999_8#32	ERR2089477	ERS1813760	320	BR	Other	19A	+	+	-	2013	Brazil	#FFFF00	#FFFF00	#000000
15608_4#65	ERR876683	ERS628859	320	TT	Other	19A	+	+	-	2013	Trinidad and Tobago	#FFFF00	#FFFF00	#000000
